Name,Address,phone_number,Contact,email,zip,contacted,geometry,dist_label,closed,mou_sign_date,lon,lat
Kenwood Oakland Community Organization,"4242 S Cottage Grove Ave, Chicago, IL 60653",773-548-7500,Brian Malone,jawanza.bmalone@kocoonline.org,60653,TRUE,"c(-87.6071254, 41.8173308)",2ND,FALSE,07/10/2019,-87.6071254,41.8173308
ADA S. MCKINLEY COMMUNITY SERVICES,"1359 W. Washington Blvd. Chicago, IL 60607",312-554-0600,Jamal Malone,jmalone@adasmckinley.org,60607,TRUE,"c(-87.6620416, 41.8825159)",12TH,FALSE,07/10/2019,-87.6620416,41.8825159
Bridgeview Community Center,"7902 S Oketo Ave, Bridgeview, IL 60455",708-924-8081,James Nagel,jnagel@villageofbridgeview.com,60455,TRUE,"c(-87.8048804, 41.7473817)",NA,FALSE,07/10/2019,-87.80488040000002,41.7473817
Jones Memorial Community Center,"220 E 15th St, Chicago Heights, IL 60411",708-757-5395,Juana Morales,jonescenter@hotmail.com,60411,TRUE,"c(-87.6278158, 41.5040008)",NA,FALSE,07/10/2019,-87.6278158,41.5040008
Triedstone Baptist Church,"1415 W 104th St, Chicago, IL 60643",773-881-7710,Kimberly Currey,kcurrey@triedstonecoc.com,60643,TRUE,"c(-87.6581901, 41.7045927)",22ND,FALSE,07/10/2019,-87.6581901,41.7045927
Circle Urban Ministries,"118 N Central Ave, Chicago, IL 60644",773-921-1446,Kim Cachings,kimc@circleurban.org,60644,TRUE,"c(-87.7652212, 41.8829013)",15TH,FALSE,07/10/2019,-87.7652212,41.8829013
Mount Vernon Baptist Church,"2622 Jackson Blvd, Chicago, IL 60612",773-826-3064,Cheryl Haynie,lady930@prodigy.net,60612,TRUE,"c(-87.6920393, 41.8777725)",11TH,FALSE,07/10/2019,-87.69203929999999,41.8777725
49th Ward Aldermanic Services Office,"7356 N Greenview Ave, Chicago, IL 60626",773-338-5796,Leslie Perkins,leslie@49thward.org,60626,TRUE,"c(-87.6683311, 42.0154944)",24TH,FALSE,07/10/2019,-87.66833109999999,42.0154944
ABRAXAS YOUTH & FAMILY SERVICES (CHICAGO),"5701 S Wood St, Chicago, IL 60636",773-737-4600,Linda Maranda,lmaranda@abraxasyfs.com,60636,TRUE,"c(-87.6686315, 41.7900675)",7TH,FALSE,07/10/2019,-87.66863149999999,41.7900675
INDIAN OAKS ACADEMY,"101 N Bramble St, Manteno, IL 60950",815-802-3700,Mary Ann Berg,mberg@nexus-ioa.org,60950,TRUE,"c(-87.8049568, 41.2271777)",NA,FALSE,07/10/2019,-87.8049568,41.2271777
AUNT MARTHA'S,19990 Governors Highway Olympia Fields IL 60461,708-747-7100,Mia Collins,mcollins@auntmarthas.org,60461,TRUE,"c(-87.7005184, 41.5267435)",NA,FALSE,07/10/2019,-87.70051839999999,41.52674349999999
HEALTHCARE ALTERNATIVE SYSTEMS (H.A.S),"2755 W Armitage Ave, Chicago, IL 60647",773-252-3100,"Marco E. Jacome, CEO",mjacome@hascares.org,60647,TRUE,"c(-87.6968225, 41.9172063)",14TH,FALSE,07/10/2019,-87.6968225,41.9172063
CATHOLIC CHARITIES-Cook County-Suburbs,"1717 Rand Road Des Plaines, IL 60016",847-376-2100,Mike Waters,mwaters@catholiccharities.net,60016,TRUE,"c(-87.8815936, 42.0451693)",NA,FALSE,07/10/2019,-87.8815936,42.0451693
METROPOLITAN FAMILY SERVICES,"3249 North Central Ave Chicago, Illinois 60634",773-371-3700,"Roxanne Nava, Executive Director",navar@metrofamily.org,60634,TRUE,"c(-87.766158, 41.940147)",16TH,FALSE,07/10/2019,-87.766158,41.940147
Symphony of Morgan Park,"10935 S Halsted St, Chicago, IL 60628",773-928-2000,Nicole Cole,ncole@symphonypan.com,60628,TRUE,"c(-87.6421575, 41.6950861)",22ND,FALSE,07/10/2019,-87.6421575,41.6950861
Our Lady of Mercy Church,"4432 N Troy St, Chicago, IL 60625",773-588-2620,Susanna Guzman,office@olm.church,60625,TRUE,"c(-87.7074474, 41.9623416)",17TH,FALSE,07/10/2019,-87.70744739999999,41.9623416
ROSECRANCE HEALTH NETWORK-Lakeview,"3701 N Ashland Ave, Chicago IL 60613",888-928-5278,Phil Eaton,peaton@rosecrance.org,60613,TRUE,"c(-87.668515, 41.948973)",19TH,FALSE,07/10/2019,-87.668515,41.948973
BLOOM TOWNSHIP YOUTH AND FAMILY SERVICES,"425 South Halsted, Chicago Heights, IL 60411",708-754-9400,Rocina Torres,rocinat@bloomtownship.org,60411,TRUE,"c(-87.635349, 41.523313)",NA,FALSE,07/10/2019,-87.63534899999999,41.52331299999999
Oak Park Library,"834 Lake St, Oak Park, IL 60301",708-383-8200,Rob Simmons,rsimmons@oppl.org,60301,TRUE,"c(-87.7964677, 41.8891209)",NA,FALSE,07/10/2019,-87.7964677,41.88912089999999
CRUSHERS CLUB,"1406 W 64th St, Chicago, IL 60636",312-221-0289,"Sally Hazelgrove, President",shazelgrove7@gmail.com,60636,TRUE,"c(-87.6596158, 41.7779664)",7TH,FALSE,07/10/2019,-87.65961580000001,41.7779664
YOUTH OUTREACH SERVICES (AUSTIN OFFICE),"5910 W. Division St., Chicago, Illinois 60651",773-777-7112,Tonette Ingram,tonettei@yos.org,60651,TRUE,"c(-87.7734602, 41.9021263)",25TH,FALSE,07/10/2019,-87.7734602,41.9021263
YOUTH OUTREACH SERVICES (DUNNING/IRVING PARK OFFICE),"6417 W. Irving Park Rd. Chicago, Illinois 60634",773-777-7112,Tonette Ingram,tonettei@yos.org,60634,TRUE,"c(-87.7871317, 41.9526727)",16TH,FALSE,07/10/2019,-87.78713169999999,41.9526727
YOUTH OUTREACH SERVICES (LEYDEN-PROVISO OFFICE),"4419 W. North Ave. Melrose Park, Illinois 60160",773-777-7112,Tonette Ingram,tonettei@yos.org,60160,TRUE,"c(-87.8868463, 41.9079067)",NA,FALSE,07/10/2019,-87.8868463,41.9079067
CATHOLIC CHARITIES-Lake County,"671 S. Lewis Waukegan, IL 60085",847-782-4000,Tracy Reilly,treilly@catholiccharities.net,60085,TRUE,"c(-87.85573, 42.3473716)",NA,FALSE,07/10/2019,-87.85573,42.3473716
Excel Academy,"7530 S South Shore Dr, Chicago, IL 60649",773-902-7800,Tirrell Taylor,ttaylor@cameloteducation.org,60649,TRUE,"c(-87.5568043, 41.7605135)",4TH,TRUE,07/10/2019,-87.5568043,41.76051349999999
Chicago Tabernacle Church,"3231 N Cicero Ave, Chicago, IL 60641",773-583-7344,Tommy Toledo,ttoledo@chicagotabernacle.org,60641,TRUE,"c(-87.746634, 41.9397478)",17TH,FALSE,07/10/2019,-87.746634,41.9397478
Urban Life Skills Program,"4101 W. 51st St. Chicago, IL 60632",312-736-2466,Vivian Bahena,vivianb@newlifecenters.org,60632,TRUE,"c(-87.7275843, 41.8000852)",8TH,FALSE,07/10/2019,-87.72758429999999,41.8000852
Chicago Heights Park District,"1400 Chicago Rd, Chicago Heights, IL 60411",708-755-1351,Wanda Rodgers,wrodgers@chparkdistrict.net,60411,TRUE,"c(-87.6418491, 41.5056938)",NA,FALSE,07/10/2019,-87.6418491,41.5056938
Salvation Army Midwest Corps Community Center,"20 S Campbell Ave, Chicago, IL 60612",312-733-4801,Jacqueline Rachev,Jacqueline_Rachev@usc.salvationarmy.org,60612,TRUE,"c(-87.6893118, 41.8804331)",11TH,FALSE,07/10/2019,-87.6893118,41.8804331
ADDICTION COUNSELING & EDUCATION SERVICES (ACES),"721 N. La Salle St. Chicago, IL 60629",312-655-7725,Katie Richie,krichie@catholiccharities.net,60629,TRUE,"c(-87.6324565, 41.8900102)",18TH,FALSE,07/10/2019,-87.63245649999999,41.8900102
ADDICTION COUNSELING & EDUCATION SERVICES (ACES),"1507 1/2 W Jefferson St, Joliet, IL 60435",815-725-3006,Katie Richie,krichie@catholiccharities.net,60435,TRUE,"c(-88.1178118, 41.5237007)",NA,FALSE,07/10/2019,-88.11781180000001,41.5237007
"ASSOCIATES IN HUMAN DEVELOPMENT COUNSELING, LLC","1240 West Northwest Highway Countryside Office Park, Entrance 3, Palatine, IL 60067",847-483-0800,Carol Reid,creid@ahdcllc.com,60067,TRUE,"c(-88.0735692, 42.1257479)",NA,FALSE,07/10/2019,-88.0735692,42.1257479
AVALON/CHATHAM MENTAL HEALTH CLINIC,"132 E 79th St, Chicago, IL 60619",773-487-0515,Dr. Karen Douglas,gilead.bhs@sbcglobal.net,60619,TRUE,"c(-87.620007, 41.7511832)",6TH,FALSE,07/10/2019,-87.620007,41.7511832
BETTER BOYS FOUNDATION,"1512 S Pulaski Rd, Chicago, IL 60623",773-542-7300,Rufus Williams,info@bbffamilyservices.org,60623,TRUE,"c(-87.725477, 41.8603857)",10TH,FALSE,07/10/2019,-87.725477,41.86038569999999
BOBBY E. WRIGHT MENTAL HEALTH CENTER,"9 S Kedzie Ave, Chicago, IL 60612",773-722-7900 x4050,Dr. Rashad K. Saafir,rsaafir@bewcbhc.org,60612,TRUE,"c(-87.7059507, 41.8805834)",11TH,FALSE,07/10/2019,-87.7059507,41.8805834
CATHOLIC CHARITIES AT ST. CASIMIR,"2601 W Marquette Rd, Chicago, IL 60629",773-776-1324,Katie Richie,krichie@catholiccharities.net,60629,TRUE,"c(-87.6889779, 41.7712974)",8TH,FALSE,07/10/2019,-87.6889779,41.77129739999999
Christ Temple Baptist Church,"16200 S Wood St, Markham, IL 60428",708-339-1822,Dale A Lawson Sr,ctbc111@gmail.com,60428,TRUE,"c(-87.6611642, 41.5952149)",NA,FALSE,07/10/2019,-87.6611642,41.59521489999999
Fernwood Community Outreach Church,"10057 S Wallace St, Chicago, IL 60628",773- 445-7125,Rev. Al Sampsom,revalsampson.sampson10@gmail.com,60628,TRUE,"c(-87.6377244, 41.7109035)",22ND,FALSE,07/10/2019,-87.6377244,41.7109035
GATEWAY FOUNDATION-CHICAGO OUTPATIENT NORTH,"415 N Dearborn Ste 510 Chicago, IL 60654",312-614-1088,Sally Thoren,sthoren@gatewayfoundation.org,60654,TRUE,"c(-87.6293403, 41.8897261)",18TH,FALSE,07/10/2019,-87.6293403,41.8897261
TASC,"1100 S Hamilton Ave, Chicago, IL 60612",312-666-7339,Pamela F. Rodriguez,prodriguez@tasc-il.org,60612,TRUE,"c(-87.6810801, 41.8676684)",12TH,FALSE,07/10/2019,-87.68108010000002,41.8676684
YOUTH OUTREACH SERVICES WESTSIDE LOCATION MAIN OFFICE,"2411 W Congress Pkwy, Chicago, IL 60612",773-777-7112,Erin Mckenna,erinm@yos.org,60612,TRUE,"c(-87.6868046, 41.8747523)",11TH,FALSE,07/10/2019,-87.6868046,41.8747523
Union Star M.B. Church,"3915 W Chicago Ave; Chicago, Illinois 60651",773-638-8477,Minster Baggett,Collierqbaggett1@gmail.com,60651,TRUE,"c(-87.7243108, 41.8950718)",11TH,FALSE,07/10/2019,-87.7243108,41.8950718
James Jordan Boys & Girls Club,"2102 W Monroe St, Chicago, IL 60612",312-226-2323,Wanda Noyes,wnoyes@bgcc.org,60612,TRUE,"c(-87.6796095, 41.8802362)",12TH,FALSE,07/10/2019,-87.6796095,41.8802362
Future Ties,"3935 W. 82nd St. Chicago, IL 60652",773-869-5777,Jennifer Maddox,jmaddox@futureties.org,60652,TRUE,"c(-87.7207057, 41.7438132)",8TH,FALSE,07/10/2019,-87.7207057,41.74381320000001
Apostolic Church of God,"6320 S Dorchester Ave, Chicago, IL 60637",773-667-1500,Carol Mcdermott,carolm@acog-chicago.net,60637,TRUE,"c(-87.5922605, 41.7793468)",3RD,FALSE,07/10/2019,-87.5922605,41.7793468
King of Glory Tabernacle C.O.G.I.C.,"2314 E 83rd St, Chicago, IL 60617",773-375-3537,Dawn Hodges,kogcogic@aol.com,60617,TRUE,"c(-87.5682037, 41.7446806)",4TH,FALSE,07/10/2019,-87.5682037,41.7446806
Emmanuel Christian Reformed Church,"22515 Torrence Ave, Chicago Heights, IL 60411",708-758-3343,Gary Dykstra,gdykstra@dgelectric.com,60411,TRUE,"c(-87.556359, 41.481256)",NA,FALSE,07/10/2019,-87.556359,41.48125599999999
Harvey Park District,"14821 Broadway Ave, Harvey, IL 60426",708-331-3857,Dr. Kisha Mccaskill,kmccaskill@harveyparkdistrict.org,60426,TRUE,"c(-87.6442751, 41.6203104)",NA,FALSE,07/10/2019,-87.6442751,41.6203104
Hillcrest Baptist Church,"17300 Crawford Ave, Country Club Hills, IL 60478",708-799-8300,NA,hillcrestbaptistchurch-il@comcast.net,60478,TRUE,"c(-87.7145306, 41.5754743)",NA,FALSE,07/10/2019,-87.71453059999999,41.5754743
Riverdale Park District,"14322 S Ivanhoe Dr, Riverdale, IL 60827",708-841-8720,Gwenette Bradley,gbradley@riverdaleparkdistrict.com,60827,TRUE,"c(-87.6292479, 41.6341529)",NA,FALSE,07/10/2019,-87.6292479,41.6341529
ASPIRE,"4110 Litt Dr, Hillside, IL 60162",708-547-0979,NA,aspireliving@aspirechicago.com,60162,TRUE,"c(-87.8870244, 41.8803429)",NA,FALSE,07/10/2019,-87.88702440000002,41.8803429
Chicago Area Project-westside american work ctr,"605 S Albany Ave, Chicago, IL 60612",773-722-4133,Ron Hearns,rhearns@kra.com,60612,TRUE,"c(-87.7024818, 41.8734244)",11TH,FALSE,07/10/2019,-87.7024818,41.8734244
Animal Welfare League,"10305 SW Hwy, Chicago Ridge, IL 60415",708-636-8586,Chris Higens,chris.higens@animalwelfareleague.com,60415,TRUE,"c(-87.7877849, 41.7035738)",NA,FALSE,07/10/2019,-87.78778489999999,41.7035738
BARRINGTON YOUTH SERVICES,"110 S Hager Ave   103, Barrington, IL 60010",847-381-0345,"Burke Groom, Board Chair",bgroom@barringtonbank.com,60010,TRUE,"c(-88.1454842, 42.1535511)",NA,FALSE,07/10/2019,-88.1454842,42.1535511
Richton Park Fire Department,"4455 Sauk Trail   2, Richton Park, IL 60471",708-481-8985,Rodney Wilson,rwilson@richtonpark.org,60471,TRUE,"c(-87.7247411, 41.483453)",NA,FALSE,07/10/2019,-87.7247411,41.483453
YOUTH OUTREACH SERVICES (PILSEN OFFICE),"1942 S. Halsted Street,  1F, Chicago, Illinois  60608",773-777-7112,Tonette Ingram,tonettei@yos.org,60608,TRUE,"c(-87.6467523, 41.8554679)",12TH,FALSE,07/10/2019,-87.6467523,41.8554679
ARBOR COUNSELING CENTER,"2033, 2300 Barrington Rd  180, Hoffman Estates, IL 60169",847-913-0393,NA,officemanager@arborcounselingcenter.com,60169,TRUE,"c(-88.145703, 42.063798)",NA,FALSE,07/10/2019,-88.145703,42.063798
YOUTH SERVICES OF ELK GROVE TOWNSHIP,"2025 S Arlington Heights Rd  120, Arlington Heights, IL 60005",847-981-0373,Dean Reschke,dreschke@elkgrovetownship.com,60005,TRUE,"c(-87.9819165, 42.0484859)",NA,FALSE,07/10/2019,-87.9819165,42.0484859
Excel Academy,"7014 S Washtenaw Ave, Chicago, IL 60629",773-424-0721,NA,NA,60629,FALSE,"c(-87.6908444, 41.7658838)",8TH,FALSE,07/10/2019,-87.6908444,41.7658838
OMNI Youth Service,"210 N. Wolf Road, Wheeling, IL 60090",847-353-1500,NA,NA,60090,FALSE,"c(-87.9162808, 42.1430837)",NA,FALSE,07/10/2019,-87.9162808,42.1430837
Target Area Development,"1542 West 79th Street, Chicago, IL 60620",773-651-6470,NA,NA,60620,FALSE,"c(-87.6626212, 41.7505201)",6TH,FALSE,07/10/2019,-87.66262119999999,41.7505201
The Promise Church of Chicago,"4821 W Chicago Ave, Chicago, IL 60651",773-342-5377,Yvette Green,NA,60651,FALSE,"c(-87.746642, 41.894697)",15TH,FALSE,07/10/2019,-87.746642,41.894697
ANGEL HARVEY FAMILY HLTH CTR OF THE INFANT WELFARE SOCIETY OF CHICAGO - CLINICAL CONTRACT,"3600 W Fullerton Ave, Chicago, IL 60647",773-782-2800,NA,NA,60647,FALSE,"c(-87.7173018, 41.924896)",25TH,FALSE,07/10/2019,-87.7173018,41.924896
AUNT MARTHA'S YOUTH SERVICE Ctr,"542 S Dearborn St, Chicago, IL 60605",312-986-8177,Richard Sundstrom,NA,60605,FALSE,"c(-87.6294164, 41.874823)",1ST,FALSE,07/10/2019,-87.6294164,41.874823
Bethel Mennonite Church,"1434 S Laflin St, Chicago, IL 60608",312-421-3871,NA,NA,60608,FALSE,"c(-87.6640804, 41.8620984)",12TH,FALSE,07/10/2019,-87.6640804,41.8620984
Bethlehem Star M. B. Church,"9231 S Cottage Grove Ave, Chicago, IL 60619",773-487-8441,NA,NA,60619,FALSE,"c(-87.604096, 41.7265408)",6TH,FALSE,07/10/2019,-87.604096,41.7265408
BRIGHT STAR COMMUNITY OUTREACH,"4518 S Cottage Grove Ave, Chicago, IL 60653",773-373-5220,Pastor Chris Harris,NA,60653,FALSE,"c(-87.60712, 41.81251)",2ND,FALSE,07/10/2019,-87.60712,41.81251
Broadview Wesleyan Church,"2218 S 18th Ave, Broadview, IL 60155",708-343-7570,NA,NA,60155,FALSE,"c(-87.8545577, 41.8634007)",NA,FALSE,07/10/2019,-87.8545577,41.8634007
Calumet Township Senior Citizen Ctr,"12633 S Ashland Ave, Calumet Park, IL 60827",708-388-6606,NA,NA,60827,FALSE,"c(-87.6606561, 41.6640217)",NA,FALSE,07/10/2019,-87.6606561,41.6640217
CANAAN COMMUNITY CHURCH,"1701 W. Garfield Blvd. Chicago, Illinois 60636",773-925-0185,Jonathan Brooks,NA,60636,FALSE,"c(-87.667216, 41.7933795)",7TH,FALSE,07/10/2019,-87.667216,41.7933795
Chatham-Avalon Church of Christ,"8601 S State St, Chicago, IL 60619",773-723-8579,NA,NA,60619,FALSE,"c(-87.6238441, 41.7377565)",6TH,FALSE,07/10/2019,-87.6238441,41.7377565
Christ Community Church,"743 E 103rd St, Chicago, IL 60628",773-928-4106,NA,NA,60628,FALSE,"c(-87.6049255, 41.7072906)",5TH,FALSE,07/10/2019,-87.6049255,41.7072906
Community Christian Church,"10323 S Ewing Ave, Chicago, IL 60617",773-721-7118,NA,NA,60617,FALSE,"c(-87.5348333, 41.7075048)",4TH,FALSE,07/10/2019,-87.5348333,41.7075048
COMMUNITY COUNSELING CtrS OF CHICAGO," 4740 N Clark St, Chicago, IL 60640",773-769-0205,Chris Carroll,NA,60640,FALSE,"c(-87.6677083, 41.9680479)",19TH,FALSE,07/10/2019,-87.6677083,41.96804789999999
Community Justice Ctr North,"5333 N Western Ave, Chicago, IL 60625",773-334-4066,NA,NA,60625,FALSE,"c(-87.6887388, 41.9786595)",20TH,FALSE,07/10/2019,-87.6887388,41.9786595
Excel Academy,"7141 S Morgan St, Chicago, IL 60621",773-675-6654,NA,NA,60621,FALSE,"c(-87.6489991, 41.7636438)",7TH,FALSE,07/10/2019,-87.6489991,41.7636438
GATEWAY Fdn/LAKE VILLA YOUTH CARE,"25480 W Cedar Crest Ln, Lake Villa, IL 60046",847-250-6051,"Karen Wolownik Albert, LCSW, Exe Dir",NA,60046,FALSE,"c(-88.1310257, 42.4254577)",NA,FALSE,07/10/2019,-88.1310257,42.4254577
Grace and Peace Church,"1856 N Leclaire Ave, Chicago, IL 60639",773-489-5949,NA,NA,60639,FALSE,"c(-87.7528849, 41.9149333)",25TH,FALSE,07/10/2019,-87.7528849,41.9149333
HARTGROVE HOSPITAL,"5730 West Roosevelt Road, Chicago, IL 60644",773-413-1700,"Kevin Ahrens, LCPC, CPPA",NA,60644,FALSE,"c(-87.7674928, 41.8663074)",15TH,FALSE,07/10/2019,-87.7674928,41.8663074
HAYMARKET,"932 W Washington Blvd, Chicago, IL 60607",312-226-7984,"Dan Lustig, Pres & CEO",NA,60607,FALSE,"c(-87.651281, 41.8832588)",12TH,FALSE,07/10/2019,-87.651281,41.8832588
Keystone Baptist Church,"4035 W Maypole Ave, Chicago, IL 60624",312-718-3644,NA,NA,60624,FALSE,"c(-87.727178, 41.884351)",11TH,FALSE,07/10/2019,-87.727178,41.884351
Mercy Home for Boys and Girls,"1140 W Jackson Blvd, Chicago, IL 60607",312-738-7560,Fr. Scott Donahue,NA,60607,FALSE,"c(-87.6559377, 41.8779878)",12TH,FALSE,07/10/2019,-87.6559377,41.87798780000001
METROPOLITAN FAMILY SERVICES,"10537 South Roberts Rd Palos Hills, Illinois 60465",708-974-2300,NA,NA,60465,FALSE,"c(-87.8164779, 41.6991027)",NA,FALSE,07/10/2019,-87.8164779,41.6991027
METROPOLITAN FAMILY SERVICES,"235 East 103rd Street Chicago, Illinois 60628",773-371-3600,"Audrena Spence, Executive Director",NA,60628,FALSE,"c(-87.6167095, 41.7070097)",5TH,FALSE,07/10/2019,-87.6167095,41.7070097
METROPOLITAN FAMILY SERVICES,"222 East Willow Ave Wheaton, Illinois 60187",630-784-4800,NA,NA,60187,FALSE,"c(-88.1040419, 41.8628728)",NA,FALSE,07/10/2019,-88.1040419,41.8628728
Midlothian Public Library,"14701 Kenton Ave, Midlothian, IL 60445",708-535-2027,NA,NA,60445,FALSE,"c(-87.7317675, 41.6249858)",NA,FALSE,07/10/2019,-87.73176749999999,41.6249858
Olive Branch Mission,"6310 S Claremont Ave, Chicago, IL 60636",773-476-6200,NA,NA,60636,FALSE,"c(-87.6826906, 41.7789376)",8TH,FALSE,07/10/2019,-87.6826906,41.7789376
Our Lady of Lourdes Church,"4640 N Ashland Ave, Chicago, IL 60640",312-783-3930,Bill Tome,NA,60640,FALSE,"c(-87.6698427, 41.9669091)",19TH,FALSE,07/10/2019,-87.66984269999999,41.9669091
Repairer of the Breach Ministries,"4246 W Lake St, Chicago, IL 60624",773-826-7955,NA,NA,60624,FALSE,"c(-87.7325369, 41.8862135)",11TH,FALSE,07/10/2019,-87.7325369,41.8862135
Reymar Clinic,"6032 S Halsted St, Chicago, IL 60621",773-651-9200,NA,NA,60621,FALSE,"c(-87.6451636, 41.7842929)",7TH,FALSE,07/10/2019,-87.64516359999999,41.7842929
SAG & IGNITE-IPS PROG.,"NA",312-575-3270,Michael Cesarcek/Delores Hays,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
Salvation Army,"2900 W. 127th Street (Burr Oak Ave) Blue Island, IL 60406",708-332-0100,NA,NA,60406,FALSE,"c(-87.6925986, 41.663017)",NA,FALSE,07/10/2019,-87.6925986,41.663017
Salvation Army,"5036 W. 47th St. Chicago, IL 60638",773-838-8005,NA,NA,60638,FALSE,"c(-87.7497976, 41.8077666)",8TH,FALSE,07/10/2019,-87.7497976,41.8077666
SEADAC (SOUTHEAST ALCOHOL DRUG ABUSE Ctr),"8640 S South Chicago Ave, Chicago, IL 60617",773-731-9100,NA,NA,60617,FALSE,"c(-87.5669682, 41.7376585)",4TH,FALSE,07/10/2019,-87.56696819999999,41.73765849999999
